sample-id	island	species	pull	pos_neg
RAR-X1	Floreana	UN	rarefraction	positive
RAR-X2	Floreana	UN	rarefraction	positive
RAR-X3	Floreana	UN	rarefraction	positive
RAR-X4	Floreana	UN	rarefraction	positive
RAR-X5	Floreana	UN	rarefraction	positive
RAR-X6	Floreana	UN	rarefraction	positive
RAR-X7	Floreana	UN	rarefraction	positive
RAR-X8	Floreana	UN	rarefraction	positive
RAR-X9	Floreana	UN	rarefraction	positive
RAR-X10	Floreana	UN	rarefraction	positive
RAR-Y1	Isabela	X2	rarefraction	positive
RAR-Y2	Isabela	X3	rarefraction	positive
RAR-Y3	Isabela	X4	rarefraction	positive
RAR-Y4	Isabela	X5	rarefraction	positive
RAR-Y5	Isabela	X6	rarefraction	positive
RAR-Y6	Isabela	X7	rarefraction	positive
RAR-Y7	Isabela	X8	rarefraction	positive
RAR-Y8	Isabela	X9	rarefraction	positive
RAR-Y9	Isabela	X10	rarefraction	positive
RAR-Y10	Isabela	X11	rarefraction	positive
ctrl-PCR-neg-Alex			control	negative
